,Hydro_Run-of-river_and_poundage_Res,Hydro_Water_Reservoir_Res,Other_Res
2019-02-23,23.3007503,5.999270000000003,15.028809959999998
2019-02-24,22.6535102,5.217240599999997,14.974290099999997
2019-03-20,33.74524,9.975133,13.54805032
2019-03-23,29.19987,6.7729316,13.425810002
2019-03-24,28.43727,4.9490905000000005,13.49466999
2019-04-17,32.331730199999996,10.022900999999997,12.612649999999999
2019-04-20,37.5502401,6.340209699999999,12.4493603
2019-04-21,37.5022802,4.843601999999999,12.9201499
2019-05-15,42.4096803,10.243741,14.899380200000001
2019-05-18,40.41262,4.400200999999999,15.214840200000001
2019-05-19,41.2083201,5.915081000000001,15.446349999999999
2019-06-19,74.73706,10.160381999999998,16.31352981
2019-06-22,71.21797000000001,2.6472240000000014,17.4204901
2019-06-23,71.91699100000001,5.97325,16.3421002
2019-07-17,61.62496,0.4296369999999996,15.77114019
2019-07-20,59.00431999999999,-0.028583000000004688,15.95302981
2019-07-21,59.75157,-4.473039,16.1604799
2019-08-21,70.24074999999999,0.747540000000015,14.279110020000001
2019-08-24,66.91772,-0.8868110000000087,14.731030109999999
2019-08-25,62.64838,-5.4748440000000045,14.460039998000001
2019-09-18,42.0212904,0.1288419999999988,14.8713
2019-09-21,34.97934,4.53565,14.7629999
2019-09-22,32.29435,1.8014808000000002,15.02036
2019-10-16,46.33204,11.908111999999996,14.28233992
2019-10-19,39.922830000000005,5.343340600000001,14.975530019999999
2019-10-20,42.42715,4.024519999999995,14.54658002
2019-11-20,32.3629904,17.957313,16.12227
2019-11-23,29.48665,8.81642,15.95557
2019-11-24,29.4804503,6.99521,16.01979
2019-12-18,36.9900296,12.989817500000001,18.395249999999997
2019-12-21,35.99825,12.50543,15.38099
2019-12-22,35.714240000000004,11.280721,14.81665006
2020-01-15,24.3496298,13.636404999999996,11.97777004
2020-01-18,21.573510000000002,6.931073000000005,12.02236
2020-01-19,18.064570000000003,6.196000999999995,12.64800005
2020-02-19,33.23981,13.766435000000001,15.0067001
2020-02-22,27.61549,11.4382405,11.322129999999998
2020-02-23,23.8423306,9.609640299999999,14.1624302
2020-03-18,36.93798,14.263211000000005,9.141031000000002
2020-03-21,34.7523197,8.59809,9.336689999999997
2020-03-22,31.2003107,7.7235005,13.070389800000001
2020-04-15,41.7761104,16.12543,5.1750409999999984
2020-04-18,42.935419800000005,10.025590999999999,6.67606
2020-04-19,42.55819,3.9640699999999995,9.078980000000001
2020-05-13,63.61189,20.933805000000007,14.476630000000002
2020-05-16,55.21984,7.103640300000002,5.169730039999999
2020-05-17,58.55578,2.729230300000001,3.4511890099999984
2020-06-17,64.374071,16.70395900000001,11.69023002
2020-06-20,62.75055,8.915033000000001,6.90898
2020-06-21,60.4359905,5.623849,6.112459999999999
2020-07-15,59.37164,12.469463000000005,13.491700029999999
2020-07-18,59.2175606,5.550381000000002,5.887249989999999
2020-07-19,51.57019,4.277911000000003,6.078911009999999
2020-08-19,55.4366803,3.189833,8.2528805
2020-08-22,48.6019804,-8.541867,8.86014052
2020-08-23,43.389030000000005,-0.23144800000000032,6.841760000000001
2020-09-16,43.46008,5.372337999999999,13.9637307
2020-09-19,32.10667,4.160610300000002,13.18326
2020-09-20,30.6175702,5.384500499999998,10.80194
2020-10-14,31.485879699999998,-7.631039999999992,8.71081
2020-10-17,46.4803107,-11.331535999999996,12.072040300000001
2020-10-18,42.2985605,3.401679999999999,11.394939702
2020-11-18,28.5144102,10.705240000000003,14.2341802
2020-11-21,24.97515,6.735680500000001,12.704680019999998
2020-11-22,23.11145,6.829242300000001,12.3789803
2020-12-16,29.32323,14.040705000000003,14.245050099999998
2020-12-19,25.608400200000002,12.272869999999998,12.85997
2020-12-20,23.583300299999998,9.566139,12.71319999
2021-01-20,24.68444,11.661954999999992,8.74091
2021-01-23,26.148390000000003,7.578490000000002,9.99392
2021-01-24,24.97527,6.668732600000002,10.14557
2021-02-17,30.449920300000002,11.415559000000002,9.87729062
2021-02-20,25.4976603,10.85641,8.436310299999999
2021-02-21,24.9705095,8.105120600000003,8.51928
2021-03-17,28.395830399999998,11.942379000000003,13.613660019999998
2021-03-20,23.49091,5.732031000000003,6.95088002
2021-03-21,20.35173,4.41929,10.70661004
2021-04-21,25.6464297,10.299011,8.286570999999999
2021-04-24,31.0846503,5.011299900000001,7.1781299999999995
2021-04-25,33.38523,4.058250500000001,6.264558999999998
2021-05-19,53.1163405,19.868172,10.59264
2021-05-22,49.6105807,7.465940000000003,1.5879009999999951
2021-05-23,49.741560299999996,6.780761000000002,3.4012610000000016
2021-06-16,75.008241,21.803256000000005,5.256959999999999
2021-06-19,76.51319000000001,15.925399999999996,7.40013001
2021-06-20,70.6025505,13.085139999999996,12.48991005
2021-07-21,69.70004,20.222589999999997,-0.8162190000000002
2021-07-24,64.067391,16.411052000000005,7.7346404
2021-07-25,61.1372803,13.672951999999995,5.485611010000001
2021-08-18,63.6078205,18.385281,8.29430201
2021-08-21,59.961450000000006,14.900033,6.774420010000002
2021-08-22,52.79246,8.034570000000002,11.43144
2021-09-15,45.9165604,18.08389000000001,13.14035002
2021-09-18,41.79866,7.130990000000001,7.52580002
2021-09-19,42.5057907,4.887520900000002,15.744250200000002
2021-10-20,23.1940606,13.965680999999996,12.5369101
2021-10-23,22.038970000000003,13.130319999999998,9.471819960000001
2021-10-24,20.86709,9.0306313,10.050020499999999
2021-11-17,22.203339999999997,15.977989000000008,12.787090105999999
2021-11-20,18.8180902,11.385089999999998,13.276229990000001
2021-11-21,18.5493702,8.359569999999998,13.23754004
2021-12-15,25.81158,19.90012,13.948910020000001
2021-12-18,21.121209999999998,10.503070999999998,10.4971706
2021-12-19,20.178559999999997,8.34292,13.77373007
2022-01-19,24.0203603,17.99092999999999,13.52305013
2022-01-22,19.9877,11.668198000000004,10.66811
2022-01-23,18.4422704,8.819910000000004,13.02440998
2022-02-16,25.4858999,15.615251,14.771600199999998
2022-02-19,30.0913102,9.6162906,8.954070000000002
2022-02-20,28.09214,7.508900399999998,13.220040199999998
2022-03-16,23.279139999999998,13.770719999999997,13.93881059
2022-03-19,23.1250903,6.539950000000001,9.1841901
2022-03-20,21.317120199999998,5.577420299999998,9.126552060000002
2022-04-20,39.304060299999996,14.655668999999996,5.582168999999999
2022-04-23,32.3128005,6.829940999999998,13.289460000000002
2022-04-24,32.84008,7.2439800000000005,15.049660040000003
2022-05-18,63.045320000000004,16.681669999999997,4.95334102
2022-05-21,59.806831,14.175531,6.773750010000002
2022-05-22,58.284180000000006,12.575521000000002,9.730130999999998
2022-06-15,56.98207000000001,19.874369,6.894960009999998
2022-06-18,54.395559999999996,6.463619999999999,5.16724001
2022-06-19,54.904309999999995,0.6216006999999983,5.564432019999998
2022-07-20,50.968540000000004,19.97514799999999,10.34924102
2022-07-23,52.487010000000005,0.8317620000000048,9.78856
2022-07-24,54.34688,2.634381999999995,2.9783020100000037
2022-08-17,43.80867,13.47713499999999,8.87268102
2022-08-20,51.1100815,7.830870999999998,7.246911000000001
2022-08-21,48.72304,4.300558800000001,5.678401000000001
2022-09-21,32.1455497,10.624059000000003,6.788330010000001
2022-09-24,22.61127,5.550791,15.852390005
2022-09-25,23.3731,4.981400000000001,16.689360209999997
2022-10-19,29.67221,7.714399999999998,14.3707801
2022-10-22,42.5789907,4.056041499999996,10.272140239999999
2022-10-23,33.0245,5.435710999999998,12.50287003
2022-11-16,28.550070400000003,14.310369999999999,13.242809999999999
2022-11-19,27.4213801,7.208060499999998,13.24742
2022-11-20,25.00721,4.3598906,12.3101598
2022-12-21,25.71455,15.977010999999997,12.47135
2022-12-24,38.843590000000006,11.565030300000002,12.451039999999999
2022-12-25,37.044520399999996,7.9994107,11.739889999999999
